"File","Build","Level","Feat","Match"
"KM_Builds_A.md","ELEMENTAL CHANNEL BOMBER ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A.md","ELEMENTAL CHANNEL BOMBER ALCHEMIST","15","Mega Bomb (massive AoE, 3 reagents)","Mega Bomb"
"KM_Builds_A.md","ELEMENTAL CHANNEL BOMBER ALCHEMIST","17","Perfect Bombs","Perfect Bombs"
"KM_Builds_A.md","HEX MUTAGENIST ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A.md","HEX MUTAGENIST ALCHEMIST","17","Perfect Mutagen","Perfect Mutagen"
"KM_Builds_A.md","OVERDRIVE CHIRURGEON ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A.md","OVERDRIVE CHIRURGEON ALCHEMIST","17","Perfect Elixir","Perfect Elixir"
"KM_Builds_A2.md","ROGUE TOXICOLOGIST ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A2.md","ROGUE TOXICOLOGIST ALCHEMIST","17","Perfect Mutagen","Perfect Mutagen"
"KM_Builds_A2.md","AMP BOMBER ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A2.md","AMP BOMBER ALCHEMIST","15","Mega Bomb","Mega Bomb"
"KM_Builds_A2.md","AMP BOMBER ALCHEMIST","17","Perfect Bombs","Perfect Bombs"
"KM_Builds_A2.md","PURE BOMBER ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A2.md","PURE BOMBER ALCHEMIST","15","Mega Bomb (massive AoE, 3 reagents)","Mega Bomb"
"KM_Builds_A2.md","PURE BOMBER ALCHEMIST","17","Perfect Bombs","Perfect Bombs"
"KM_Builds_A2.md","THE GRAND MUTAGENIC LOGISTICIAN","10","Healer-aligned celestial heritage matches Revivifying Mutagen + Miracle Worker's late-game resurrection identity at the thematic level.","Miracle Worker"
"KM_Builds_A2.md","THE GRAND MUTAGENIC LOGISTICIAN","12","Miracle Worker (revive a creature dead <2 rounds with elixir)","Miracle Worker"
"KM_Builds_A2.md","THE GRAND MUTAGENIC LOGISTICIAN","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A2.md","THE GRAND MUTAGENIC LOGISTICIAN","17","Ultimate Mutagen (mutagen grants major bonuses with no drawback)","Ultimate Mutagen"
"KM_Builds_A2.md","THE GRAND MUTAGENIC LOGISTICIAN","20","Perfect Mutagen","Perfect Mutagen"
"KM_Builds_A2.md","WILDSHAPE CHIRURGEON ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A2.md","WILDSHAPE CHIRURGEON ALCHEMIST","17","Perfect Elixir","Perfect Elixir"
"KM_Builds_A3.md","SPIRIT WARDEN ANIMIST","4","Two L1 feats accelerates the Wandering Liturgist + Guardian Spirit path — triple aura at L6 instead of potentially L7.","Guardian Spirit"
"KM_Builds_A3.md","SPIRIT WARDEN ANIMIST","1","Stonegate Dwarf (heritage, auto) + Dwarven Lore (ancestry) + + Guardian Spirit","Guardian Spirit"
"KM_Builds_A3.md","SPIRIT WARDEN ANIMIST","2","Wandering Liturgist (2nd apparition)","Wandering Liturgist"
"KM_Builds_A3.md","SPIRIT WARDEN ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A3.md","ELEMENTAL APPARITION BLASTER ANIMIST","3","Two L1 feats takes Elemental Blast Initiate + Fey-Touched path simultaneously — one level ahead on damage scaling.","Elemental Blast Initiate"
"KM_Builds_A3.md","ELEMENTAL APPARITION BLASTER ANIMIST","1","Fey-Touched (heritage, auto) + Animal Accomplice (ancestry) + + Elemental Blast Initiate","Elemental Blast Initiate"
"KM_Builds_A3.md","ELEMENTAL APPARITION BLASTER ANIMIST","4","Wandering Liturgist (support/utility apparition)","Wandering Liturgist"
"KM_Builds_A3.md","ELEMENTAL APPARITION BLASTER ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A3.md","DAILY RETRAIN SUPPORT ANIMIST","2","Wandering Liturgist (2nd apparition slot)","Wandering Liturgist"
"KM_Builds_A3.md","DAILY RETRAIN SUPPORT ANIMIST","6","Greater Wandering (3rd apparition slot)","Greater Wandering"
"KM_Builds_A3.md","DAILY RETRAIN SUPPORT ANIMIST","7","Rapid Swap (swap 1/day as 1-action ritual mid-dungeon)","Rapid Swap"
"KM_Builds_A3.md","DAILY RETRAIN SUPPORT ANIMIST","9","Spirit Communion (briefly channel 4th spirit 1/hour)","Spirit Communion"
"KM_Builds_A3.md","DAILY RETRAIN SUPPORT ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A3.md","ECHOING HIEROPHANT ANIMIST","3","Wandering Liturgist (2nd apparition slot)","Wandering Liturgist"
"KM_Builds_A3.md","ECHOING HIEROPHANT ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A3.md","KNOWLEDGE APPARITION SKILL GOD ANIMIST","2","Two L1 feats secures Knowledge Spirit + one more — the full skill identity is in place from session 1.","Knowledge Spirit"
"KM_Builds_A3.md","KNOWLEDGE APPARITION SKILL GOD ANIMIST","1","Natural Ambition + Knowledge Spirit","Knowledge Spirit"
"KM_Builds_A3.md","KNOWLEDGE APPARITION SKILL GOD ANIMIST","2","Wandering Liturgist (add combat/utility apparition)","Wandering Liturgist"
"KM_Builds_A3.md","KNOWLEDGE APPARITION SKILL GOD ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A4.md","WITNESS OF ANCIENT BATTLES ANIMIST","1","Natural Ambition + Spirit Blade Initiate","Spirit Blade Initiate"
"KM_Builds_A4.md","WITNESS OF ANCIENT BATTLES ANIMIST","4","Wandering Liturgist (attune 2nd apparition)","Wandering Liturgist"
"KM_Builds_A4.md","WITNESS OF ANCIENT BATTLES ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A4.md","SPIRIT GUIDE APPARITION SWAPPER ANIMIST","2","Wandering Liturgist (2nd apparition slot)","Wandering Liturgist"
"KM_Builds_A4.md","SPIRIT GUIDE APPARITION SWAPPER ANIMIST","6","Greater Wandering (3rd apparition slot)","Greater Wandering"
"KM_Builds_A4.md","SPIRIT GUIDE APPARITION SWAPPER ANIMIST","7","Rapid Swap (swap 1/day as 1-action ritual)","Rapid Swap"
"KM_Builds_A4.md","SPIRIT GUIDE APPARITION SWAPPER ANIMIST","9","Spirit Communion (briefly channel 4th spirit 1/hour)","Spirit Communion"
"KM_Builds_A4.md","SPIRIT GUIDE APPARITION SWAPPER ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A4.md","SPIRIT BLADE WARRIOR ANIMIST","3","Two L1 feats locks in Spirit Blade Adept + a second vessel-spell feat, matching the pace of the Half-Orc path.","Spirit Blade Adept"
"KM_Builds_A4.md","SPIRIT BLADE WARRIOR ANIMIST","1","Orc Ferocity + Spirit Blade Adept","Spirit Blade Adept"
"KM_Builds_A4.md","SPIRIT BLADE WARRIOR ANIMIST","4","Wandering Liturgist","Wandering Liturgist"
"KM_Builds_A4.md","SPIRIT BLADE WARRIOR ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
